,Bagging,Feature_Prop,Gain Metric,Min Data Size,Min Info,Num Trees,Train Time,VM1 Test,VM2 Test,VM3 Test
0,1.0,0.003551020408163265,missclassification,40.0,0.05,50.0,21.10312032699585,0.127,0.127,0.187
1,1.0,0.00610204081632653,missclassification,40.0,0.05,50.0,52.07667660713196,0.221,0.234,0.295
2,1.0,0.01120408163265306,missclassification,40.0,0.05,50.0,112.16285872459412,0.557,0.591,0.618
3,1.0,0.01326600617828953,missclassification,40.0,0.05,50.0,143.39338779449463,0.649,0.663,0.679
4,1.0,0.01326600617828953,missclassification,40.0,0.05,50.0,143.99417996406555,0.606,0.63,0.649
5,0.0,0.01326600617828953,missclassification,40.0,0.05,50.0,141.5324125289917,0.673,0.685,0.689
6,0.0,0.01326600617828953,missclassification,40.0,0.05,50.0,143.93229842185974,0.607,0.624,0.635
7,0.0,0.01326600617828953,entropy,40.0,0.05,50.0,1027.4083979129791,0.472,0.48,0.487
8,0.0,0.01326600617828953,gini,40.0,0.05,50.0,1002.7319328784943,0.442,0.457,0.459
9,0.0,0.01326600617828953,missclassification,40.0,0.05,50.0,145.23702883720398,0.66,0.679,0.696
10,0.0,0.01326600617828953,missclassification,20.0,0.05,50.0,145.79186415672302,0.595,0.621,0.635
11,0.0,0.01326600617828953,missclassification,10.0,0.05,50.0,147.6288287639618,0.601,0.621,0.636
12,0.0,0.01326600617828953,missclassification,2.0,0.05,50.0,147.10254955291748,0.565,0.591,0.617
13,0.0,0.01326600617828953,missclassification,40.0,0.05,50.0,142.73190021514893,0.606,0.624,0.634
14,0.0,0.01326600617828953,missclassification,40.0,0.05,50.0,142.38508296012878,0.572,0.595,0.612
15,0.0,0.01326600617828953,missclassification,40.0,0.05,100.0,285.5119981765747,0.637,0.644,0.653
16,0.0,0.01326600617828953,missclassification,40.0,0.05,150.0,429.9193000793457,0.59,0.615,0.634
