,Bagging,Feature_Prop,Gain Metric,Min Data Size,Min Info,Num Trees,Train Time,VM1 Test,VM2 Test,VM3 Test
0,1.0,0.1,missclassification,20.0,0.05,50.0,1.8874711990356445,0.758,0.758,0.758
1,1.0,0.3,missclassification,20.0,0.05,50.0,17.078556776046753,0.772,0.7733333333333333,0.7733333333333333
2,1.0,0.5,missclassification,20.0,0.05,50.0,37.30434274673462,0.784,0.786,0.786
3,1.0,0.5,missclassification,20.0,0.05,50.0,36.33267283439636,0.8153333333333334,0.8166666666666667,0.8166666666666667
4,0.0,0.5,missclassification,20.0,0.05,50.0,35.34964418411255,0.778,0.7833333333333333,0.7826666666666666
5,1.0,0.5,missclassification,20.0,0.05,50.0,38.40702033042908,0.8146666666666667,0.8153333333333334,0.8153333333333334
6,1.0,0.5,entropy,20.0,0.05,50.0,632.6265594959259,0.758,0.7586666666666667,0.7586666666666667
7,1.0,0.5,gini,20.0,0.05,50.0,606.3596758842468,0.7586666666666667,0.7606666666666667,0.7606666666666667
8,1.0,0.5,missclassification,20.0,0.05,50.0,44.635910511016846,0.7893333333333333,0.7913333333333333,0.7906666666666666
9,1.0,0.5,missclassification,10.0,0.05,50.0,41.02762269973755,0.7893333333333333,0.822,0.79
10,1.0,0.5,missclassification,2.0,0.05,50.0,43.62940263748169,0.8193333333333334,0.8186666666666667,0.8186666666666667
11,1.0,0.5,missclassification,2.0,0.05,50.0,43.02284073829651,0.8146666666666667,0.8173333333333334,0.818
12,1.0,0.5,missclassification,2.0,0.05,50.0,44.12629461288452,0.7813333333333333,0.818,0.818
13,1.0,0.5,missclassification,2.0,0.05,100.0,82.75485181808472,0.8146666666666667,0.8153333333333334,0.814
14,1.0,0.5,missclassification,2.0,0.05,150.0,137.76923871040344,0.7913333333333333,0.8226666666666667,0.822
